,date,day,domain,month,source_id,source_name,title,urlToImage,year
0,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,WATCH: Biden and Trump speak on institutional racism in America,https://s.abcnews.com/images/Politics/201022_abcnl_debate_race_issues_hpMain_16x9_992.jpg,2020.0
1,2020-10-22,22.0,abcnews.go.com,10.0,abc-news,ABC News,How will Biden deal with Trump's personal attacks at Thursday's debate?,https://s.abcnews.com/images/Politics/biden-8-abc-er-201015_1602814151696_hpMain_16x9_992.jpg,2020.0
2,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,5 key takeaways from the final presidential debate,https://s.abcnews.com/images/Politics/trump-biden-debate-nashville-37-rtr-jc-201022_1603419468680_hpMain_16x9_992.jpg,2020.0
3,2020-10-26,26.0,abcnews.go.com,10.0,abc-news,ABC News,"Jews For Trump car parade stirs protests, fights in New York",null,2020.0
4,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,Biden campaign seeks to clarify position on fossil fuels after debate exchange,https://s.abcnews.com/images/Politics/trump-biden-debate-nashville-12-gty-llr-201022_1603420778438_hpMain_16x9_992.jpg,2020.0
5,2020-10-24,24.0,abcnews.go.com,10.0,abc-news,ABC News,"Lawyer for Ivanka Trump, Jared Kushner threatens suit over 'defamatory' billboards",https://s.abcnews.com/images/Politics/ivanka-trump-jared-kushner-times-square-billboard-01-gty-llr-201024_1603557674132_hpMain_16x9_992.jpg,2020.0
6,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,"For Trump and Biden, debate fuels allegations of improper family foreign deals",https://s.abcnews.com/images/Politics/trump-biden-debate-nashville-24-rtr-jc-201022_1603416146080_hpMain_16x9_992.jpg,2020.0
7,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,Trump lifts sanctions on Sudan as he announces deal between African nation and Israel,https://s.abcnews.com/images/Politics/trump-gty-jt-201016_1602863137431_hpMain_16x9_992.jpg,2020.0
8,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,Fact-checking Trump and Biden during 2nd presidential debate,https://s.abcnews.com/images/Politics/trump-biden-debate-nashville-20-gty-jc-201022_1603415318798_hpMain_16x9_992.jpg,2020.0
9,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,WATCH: Biden and Trump discuss relief bill and minimum wage,https://s.abcnews.com/images/Politics/201022_abcnl_debate_covid_relief_hpMain_16x9_992.jpg,2020.0
10,2020-10-23,23.0,abcnews.go.com,10.0,abc-news,ABC News,Trump commits to familiar playbook to define Biden in tamer final debate: ANALYSIS,https://s.abcnews.com/images/Politics/trump-biden-debate-nashville-37-rtr-jc-201022_1603419468680_hpMain_16x9_992.jpg,2020.0
